world_rank,university_name,country,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio,year
100,University of Alberta,Canada,50.6,71.9,54.4,51.7,53.7,53.7,"36,299",21.6,23%,55:45:00,2012
1,California Institute of Technology,United States,96.3,59.8,99.4,99.7,95.6,95.5,"2,243",6.9,27%,33 : 67,2013
2,Stanford University,United States,95,56.6,98.8,99.3,62.4,93.7,"15,596",7.8,22%,42:58:00,2013
2,University of Oxford,United Kingdom,89.7,88.7,98.1,95.6,79.8,93.7,"19,919",11.6,34%,46:54:00,2013
4,Harvard University,United States,94.9,63.7,98.6,99.2,39.9,93.6,"20,152",8.9,25%,,2013
5,Massachusetts Institute of Technology,United States,92.9,81.6,89.2,99.9,92.9,93.1,"11,074",9,33%,37 : 63,2013
6,Princeton University,United States,89.5,54.5,99.4,99.8,79.5,92.7,"7,929",8.4,27%,45:55:00,2013
7,University of Cambridge,United Kingdom,91.2,83.6,95.6,96.2,59.1,92.6,"18,812",11.8,34%,46:54:00,2013
8,Imperial College London,United Kingdom,88,91.4,90.9,93,87.5,90.6,"15,060",11.7,51%,37 : 63,2013
9,"University of California, Berkeley",United States,85.1,49.7,99.3,99.3,65.4,90.5,"36,186",16.4,15%,50:50:00,2013
10,University of Chicago,United States,89.6,55.3,92.9,98.7,-,90.4,"14,221",6.9,21%,42:58:00,2013
11,Yale University,United States,93.2,54.7,92.5,94.8,38.2,89.2,"11,751",4.4,20%,50:50:00,2013
12,ETH Zurich – Swiss Federal Institute of Technology Zurich,Switzerland,82.5,95.7,92.7,86.6,-,87.8,"18,178",14.7,37%,31 : 69,2013
13,"University of California, Los Angeles",United States,87.3,42.3,93.8,95.9,-,87.7,"38,206",10.3,15%,52:48:00,2013
14,Columbia University,United States,89.7,66.1,82,96.1,-,87,"25,055",5.9,28%,,2013
15,University of Pennsylvania,United States,90,38.1,89.4,96.2,43.7,86.6,"20,376",6.5,20%,51:49:00,2013
16,Johns Hopkins University,United States,81.8,57.3,85.5,95.3,100,85.6,"15,128",3.6,23%,50:50:00,2013
17,University College London,United Kingdom,83.5,89,88.8,86.8,45.1,85.5,"26,607",10.7,46%,56:44:00,2013
18,Cornell University,United States,77,53.8,92.1,91.8,39.5,83.3,"21,424",10.2,19%,48:52:00,2013
19,Northwestern University,United States,77.6,33.8,87.3,98.2,64.4,83.1,"18,334",13.8,15%,48:52:00,2013
20,University of Michigan,United States,76.1,47.6,91.4,91.6,53.9,82.6,"41,786",9,16%,48:52:00,2013
21,University of Toronto,Canada,79.6,65.1,89.4,85.1,42.9,82.2,"66,198",19.5,15%,,2013
22,Carnegie Mellon University,United States,71.8,51.4,87,95.5,55.9,81.5,"11,885",13.1,35%,39 : 61,2013
23,Duke University,United States,72.3,45.8,81.5,97,100,81.2,"15,172",4.8,17%,49:51:00,2013
24,University of Washington,United States,74.7,39.1,81.3,97,41.3,79.9,"44,020",11.8,13%,53:47:00,2013
25,Georgia Institute of Technology,United States,70.2,66.3,79.5,90.3,74.9,78.8,"19,967",20.1,26%,31 : 69,2013
25,University of Texas at Austin,United States,75.5,42.1,80.7,91,57.9,78.8,"49,427",17.4,9%,51:49:00,2013
27,University of Tokyo,Japan,87.9,27.6,89.9,71.3,59,78.3,"26,199",5.7,10%,,2013
28,University of Melbourne,Australia,68.4,77.2,82.5,83.7,67.6,77.9,"40,128",23.7,35%,55:45:00,2013
29,National University of Singapore,Singapore,74.4,92.3,87.2,67.2,77.4,77.5,"31,592",15.5,34%,49:51:00,2013
30,University of British Columbia,Canada,69.1,82.1,80.4,84,42.4,77.3,"50,152",17.6,25%,54:46:00,2013
31,University of Wisconsin-Madison,United States,76.1,29.8,80.1,88.2,54.8,76.9,"39,655",10.8,11%,51:49:00,2013
32,University of Edinburgh,United Kingdom,68.4,78.9,71.3,90.8,43.8,76.1,"25,774",14.1,36%,58:42:00,2013
33,University of Illinois at Urbana-Champaign,United States,74.2,36,84.9,80.8,-,75.8,"42,727",18.7,20%,47:53:00,2013
34,McGill University,Canada,74.4,75.9,80.4,75.2,40.3,75.7,"31,326",13.7,23%,56:44:00,2013
35,"University of California, Santa Barbara",United States,56.1,58.3,73.5,99.4,100,75.6,"22,020",27.3,11%,52:48:00,2013
35,University of Hong Kong,Hong Kong,78.4,81.7,85.9,62.1,62.5,75.6,"19,835",17.6,38%,53:47:00,2013
37,Australian National University,Australia,68.6,90,83.5,73.5,39.6,75.4,"14,604",19.2,35%,52:48:00,2013
38,"University of California, San Diego",United States,63.4,34.2,79,96.2,43.9,75.2,"27,233",6.5,11%,48:52:00,2013
39,London School of Economics and Political Science,United Kingdom,70.8,87.2,80.8,66.5,42.9,73.1,,,,,2013
40,École Polytechnique Fédérale de Lausanne,Switzerland,62.4,98.8,57,95,49.8,73,"9,666",10.5,54%,27 : 73,2013
41,New York University,United States,73.8,38.7,67.4,89.2,29.5,72.8,"42,056",6.8,19%,55:45:00,2013
42,Karolinska Institute,Sweden,66.3,64.5,75.7,77.3,71.4,72.4,"7,774",11.5,22%,70:30:00,2013
42,University of North Carolina at Chapel Hill,United States,70.4,32.9,69.3,90.1,40,72.4,"26,518",7.3,8%,58:42:00,2013
44,"University of California, Davis",United States,67.9,51.7,71.6,82.7,52.5,71.8,"35,364",13.9,13%,54:46:00,2013
44,Washington University in St Louis,United States,66,44.3,62.8,95.2,-,71.8,"12,528",5.7,17%,,2013
46,Peking University,China,81.5,54.1,67.9,64.3,99.9,70.7,"40,148",8.3,14%,,2013
47,University of Minnesota,United States,66.1,28.7,74,84.7,-,70.5,"46,825",18,13%,52:48:00,2013
48,LMU Munich,Germany,65.4,54.7,66.5,85.5,42,70.4,"35,691",15.5,13%,62:38:00,2013
49,University of Manchester,United Kingdom,65.9,77.9,67.7,76.9,43.2,70.1,"34,938",15.3,34%,52:48:00,2013
50,Pohang University of Science and Technology,South Korea,63.9,28.8,63.9,88.2,100,69.4,"3,055",10.1,4%,0.888888889,2013
51,Brown University,United States,63.7,36.9,60.3,94.1,29.9,68.9,"8,653",10.1,19%,,2013
52,Tsinghua University,China,74.5,37.2,76.4,55.2,99.2,67.1,"39,763",13.7,10%,32 : 68,2013
53,Ohio State University,United States,66.7,46.3,60.9,80.1,49.5,67,"51,462",13.4,12%,49:51:00,2013
54,Boston University,United States,65.4,39.2,50.9,94.2,30.6,66.8,"24,789",8.6,17%,58:42:00,2013
54,Kyoto University,Japan,77.1,26.3,74.8,57.8,76.4,66.8,"22,809",5.6,7%,,2013
56,University of Southern California,United States,68.4,43.4,57.1,81.9,33.5,66.3,"36,534",12.9,20%,52:48:00,2013
57,King’s College London,United Kingdom,53.5,86,59.3,82.8,42.4,66.2,"21,394",11.4,37%,61:39:00,2013
58,KU Leuven,Belgium,59.7,56.6,71,67.2,99.7,66.1,"42,503",41.9,18%,54:46:00,2013
59,Seoul National University,South Korea,76.7,27,81.4,48,81.7,65.9,"26,389",13.9,10%,,2013
59,École Normale Supérieure,France,61.6,67.3,46.9,90.3,47.2,65.9,"2,400",7.9,20%,46:54:00,2013
61,Pennsylvania State University,United States,55,34.9,69.2,81.4,59.7,65.8,"44,501",12.4,12%,46:54:00,2013
62,University of Sydney,Australia,59.5,83,70.1,62.9,69.2,65.7,"41,868",20.2,28%,57:43:00,2013
62,École Polytechnique,France,56.5,83,54.7,80.7,75.8,65.7,"2,429",4.8,30%,0.806944444,2013
64,Leiden University,Netherlands,54,54.8,67.1,78.4,46.1,65.1,"21,222",17.1,10%,59:41:00,2013
65,Hong Kong University of Science and Technology,Hong Kong,56.9,78.1,64.6,68.9,55.6,64.4,"11,385",23.8,36%,,2013
65,The University of Queensland,Australia,54.4,77.8,66.1,69.6,64,64.4,"34,718",32.7,27%,53:47:00,2013
67,Utrecht University,Netherlands,48,47.3,64.7,82.4,82.6,64.1,"30,779",15.4,7%,59:41:00,2013
68,Korea Advanced Institute of Science and Technology (KAIST),South Korea,69.9,31.1,68.9,58.4,100,64,"9,027",10,9%,0.888888889,2013
69,Purdue University,United States,59.8,54.8,71.9,63.1,-,63.8,"39,256",18.1,22%,42:58:00,2013
70,University of Göttingen,Germany,50,51,52.5,92.5,34.4,63.2,"25,581",25.6,12%,51:49:00,2013
70,Wageningen University and Research Center,Netherlands,54.9,79.2,53.7,73.8,100,63.2,"9,248",17,21%,56:44:00,2013
72,Erasmus University Rotterdam,Netherlands,44.5,62.8,64.1,80.2,62,62.9,"20,580",18.9,18%,48:52:00,2013
72,University of Massachusetts,United States,57.1,31.7,62.6,77.8,52.8,62.9,"56,959",13,11%,49:51:00,2013
74,University of Bristol,United Kingdom,50.1,71.9,51.7,85.4,38.7,62.5,"17,906",14,25%,53:47:00,2013
75,Rice University,United States,49.5,59,39.3,100,36.5,62,"6,333",9,26%,44:56:00,2013
76,University of Pittsburgh,United States,54.6,29.4,55.1,85.2,39.3,61.7,"26,485",5.8,10%,51:49:00,2013
77,Delft University of Technology,Netherlands,59.9,67.7,75.1,45.1,99.9,61.6,"15,920",19.4,25%,26 : 74,2013
78,Heidelberg University,Germany,61.4,61.3,49,75.5,40.7,61.4,"28,881",24.5,17%,55:45:00,2013
79,Emory University,United States,56.7,36.6,44.4,90.9,38.3,61.3,"12,338",4.5,18%,56:44:00,2013
80,Durham University,United Kingdom,42.3,77.7,44.5,93.3,34.3,60.7,"15,489",15.7,24%,54:46:00,2013
81,Pierre and Marie Curie University,France,59.2,64.4,43.5,80.6,28.6,60.5,"27,862",8.7,18%,48:52:00,2013
82,Lund University,Sweden,43.6,64.4,61.3,77.1,34.2,60.3,"28,251",11.5,15%,,2013
83,University of Amsterdam,Netherlands,45.6,57,61.3,75.1,49,60.1,"24,570",14.4,11%,53:47:00,2013
84,University of Montreal,Canada,54,74.6,57.9,60.9,95,59.8,"38,264",20.3,25%,57:43:00,2013
85,University of New South Wales,Australia,52.6,84.8,63.8,56.7,50.5,59.6,"38,309",25.9,33%,47:53:00,2013
86,Nanyang Technological University,Singapore,45.7,90.5,66.9,54.5,99.5,59.4,"25,028",16.2,33%,48:52:00,2013
87,Tufts University,United States,52.6,39.6,36.4,94.8,39.4,59.1,"10,410",10,14%,54:46:00,2013
88,McMaster University,Canada,42.3,66.9,47.9,81.7,98,59,"23,823",19.3,15%,53:47:00,2013
89,University of Groningen,Netherlands,43.8,49.8,61,71.6,85.2,58.8,"24,556",25.6,12%,52:48:00,2013
89,University of Zurich,Switzerland,50,84.1,41.6,80,38.3,58.8,"26,583",6.5,19%,57:43:00,2013
91,University of Colorado Boulder,United States,42.3,34.7,44.4,97.1,-,58.7,"29,325",16.1,8%,45:55:00,2013
92,Paris-Sud University,France,48,63.9,45.9,82.9,28.4,58.6,"27,603",15,17%,,2013
93,Ghent University,Belgium,46.4,49.1,56.7,71.3,95.9,58.4,"32,166",34.1,9%,57:43:00,2013
94,Michigan State University,United States,51.8,36.8,56.8,73.8,32.6,58.3,"44,750",15.7,15%,51:49:00,2013
94,University of Notre Dame,United States,48.3,41.6,39.6,93.5,29.8,58.3,"11,829",13.8,10%,44:56:00,2013
96,"University of California, Irvine",United States,44,35.2,47.2,90.3,42.1,58.2,"26,614",16.1,16%,52:48:00,2013
97,"University of Maryland, College Park",United States,44.9,40.4,51.4,83.9,32.1,57.9,"31,331",8.4,9%,48:52:00,2013
98,University of Arizona,United States,47,31.3,53.7,76.9,83.9,57.7,"36,429",12.7,8%,52:48:00,2013
99,Humboldt University of Berlin,Germany,55.4,57.5,58.7,59.5,-,57.5,"29,987",52.5,16%,,2013
99,Monash University,Australia,47.8,66.4,60.6,60.9,70,57.5,"50,882",40.5,36%,56:44:00,2013
99,"Rutgers, the State University of New Jersey",United States,50.9,27.9,61.3,69.5,35.8,57.5,"37,032",17.3,8%,51:49:00,2013
1,California Institute of Technology,United States,94.4,65.8,98.2,99.8,91.2,94.9,"2,243",6.9,27%,33 : 67,2014
2,Harvard University,United States,95.3,66.2,98.5,99.1,40.6,93.9,"20,152",8.9,25%,,2014
2,University of Oxford,United Kingdom,89,90.2,98.5,95.4,90.3,93.9,"19,919",11.6,34%,46:54:00,2014
4,Stanford University,United States,94.7,68,96.8,99.1,61.3,93.8,"15,596",7.8,22%,42:58:00,2014
5,Massachusetts Institute of Technology,United States,92.9,82,89,100,94.3,93,"11,074",9,33%,37 : 63,2014
6,Princeton University,United States,89.9,59.6,97.6,99.7,80.5,92.7,"7,929",8.4,27%,45:55:00,2014
7,University of Cambridge,United Kingdom,90.6,86.7,95.3,95.7,52.8,92.3,"18,812",11.8,34%,46:54:00,2014
8,"University of California, Berkeley",United States,83.2,57.3,97.5,99.3,59.5,89.8,"36,186",16.4,15%,50:50:00,2014
9,University of Chicago,United States,85.6,58.6,88.2,98,-,87.8,"14,221",6.9,21%,42:58:00,2014
10,Imperial College London,United Kingdom,84.5,91.8,88.1,90,72.3,87.5,"15,060",11.7,51%,37 : 63,2014
11,Yale University,United States,89.5,57.6,90.5,93.5,38.7,87.4,"11,751",4.4,20%,50:50:00,2014
12,"University of California, Los Angeles",United States,84.8,46.4,91,95.6,-,86.3,"38,206",10.3,15%,52:48:00,2014
13,Columbia University,United States,86.6,68,79.1,95.6,-,85.2,"25,055",5.9,28%,,2014
14,ETH Zurich – Swiss Federal Institute of Technology Zurich,Switzerland,77.6,96.7,88.2,85,78.8,84.5,"18,178",14.7,37%,31 : 69,2014
15,Johns Hopkins University,United States,75.7,59.3,85.1,95,100,83.7,"15,128",3.6,23%,50:50:00,2014
16,University of Pennsylvania,United States,79.8,40.6,81.2,95,45.2,81,"20,376",6.5,20%,51:49:00,2014
17,Duke University,United States,73.9,50,73,96.7,100,79.3,"15,172",4.8,17%,49:51:00,2014
18,University of Michigan,United States,70,49.5,86.2,90.8,53.5,79.2,"41,786",9,16%,48:52:00,2014
19,Cornell University,United States,72.1,55.6,83.8,90.8,35.8,79.1,"21,424",10.2,19%,48:52:00,2014
20,University of Toronto,Canada,73.6,70,81.5,84.5,45.8,78.3,"66,198",19.5,15%,,2014
21,University College London,United Kingdom,70.5,90.2,77.5,84.1,46.8,77.6,"26,607",10.7,46%,56:44:00,2014
22,Northwestern University,United States,70.2,34.4,76,97.1,61.9,77.1,"18,334",13.8,15%,48:52:00,2014
23,University of Tokyo,Japan,84.7,29.6,88,69.8,56.7,76.4,"26,199",5.7,10%,,2014
24,Carnegie Mellon University,United States,63.1,58.1,77.4,93.9,52.5,76,"11,885",13.1,35%,39 : 61,2014
25,University of Washington,United States,65.6,43.2,69.2,95.6,43.1,73.4,"44,020",11.8,13%,53:47:00,2014
26,National University of Singapore,Singapore,68,94.3,77.8,66.4,64.3,72.4,"31,592",15.5,34%,49:51:00,2014
27,University of Texas at Austin,United States,64.7,42.4,69,91.3,59.6,72.2,"49,427",17.4,9%,51:49:00,2014
28,Georgia Institute of Technology,United States,59.4,67.8,68.6,87.9,71.3,71.6,"19,967",20.1,26%,31 : 69,2014
29,University of Illinois at Urbana-Champaign,United States,66,41.1,78.9,79.4,-,71.4,"42,727",18.7,20%,47:53:00,2014
30,University of Wisconsin-Madison,United States,69.8,32.3,67.7,87.2,51.2,71.1,"39,655",10.8,11%,51:49:00,2014
31,University of British Columbia,Canada,59.9,84.2,67.9,83.7,43.1,70.8,"50,152",17.6,25%,54:46:00,2014
32,London School of Economics and Political Science,United Kingdom,65.2,81.7,74.2,69.2,43.6,69.8,,,,,2014
33,"University of California, Santa Barbara",United States,47.8,61.8,58.2,99.4,86.7,68.4,"22,020",27.3,11%,52:48:00,2014
34,University of Melbourne,Australia,57.1,81.3,64.2,80.2,65.1,68.2,"40,128",23.7,35%,55:45:00,2014
35,McGill University,Canada,61.5,77.8,68.1,74.5,40.8,68.1,"31,326",13.7,23%,56:44:00,2014
36,Karolinska Institute,Sweden,58.1,73.2,67.7,76,68.7,67.8,"7,774",11.5,22%,70:30:00,2014
37,École Polytechnique Fédérale de Lausanne,Switzerland,52.9,98.2,48.3,95.9,49.2,67.7,"9,666",10.5,54%,27 : 73,2014
38,King’s College London,United Kingdom,56.2,86,56.8,87.6,38.3,67.6,"21,394",11.4,37%,61:39:00,2014
39,University of Edinburgh,United Kingdom,56.6,81.5,56.9,87.6,42.5,67.5,"25,774",14.1,36%,58:42:00,2014
40,New York University,United States,65.4,41.8,58.4,87.9,29.9,67.4,"42,056",6.8,19%,55:45:00,2014
40,"University of California, San Diego",United States,52,35.6,63,96.7,48.4,67.4,"27,233",6.5,11%,48:52:00,2014
42,Washington University in St Louis,United States,59.5,44.6,52.9,96.4,-,67.2,"12,528",5.7,17%,,2014
43,University of Hong Kong,Hong Kong,61.6,80.3,69.9,61.5,56.9,65.3,"19,835",17.6,38%,53:47:00,2014
44,Seoul National University,South Korea,76.4,29.4,79.2,47.3,86,65.2,"26,389",13.9,10%,,2014
45,Peking University,China,72.3,60.6,58.1,62.8,99.9,65,"40,148",8.3,14%,,2014
46,University of Minnesota,United States,61.4,31.7,62.7,81.2,-,64.9,"46,825",18,13%,52:48:00,2014
47,University of North Carolina at Chapel Hill,United States,57.6,35,55.3,90.2,39.1,64.5,"26,518",7.3,8%,58:42:00,2014
48,Australian National University,Australia,51.8,91.4,65.1,71.2,44.8,64.4,"14,604",19.2,35%,52:48:00,2014
49,Pennsylvania State University,United States,55.3,33.7,65.9,79.4,60,64.2,"44,501",12.4,12%,46:54:00,2014
50,Boston University,United States,56.5,44.2,46.1,95.3,31.1,63.5,"24,789",8.6,17%,58:42:00,2014
50,Tsinghua University,China,66.8,42.6,65.9,59.9,99.9,63.5,"39,763",13.7,10%,32 : 68,2014
52,Brown University,United States,55.4,37.7,52,91.3,33.5,63.2,"8,653",10.1,19%,,2014
52,Kyoto University,Japan,69.5,27.5,69.5,58.2,78.7,63.2,"22,809",5.6,7%,,2014
52,"University of California, Davis",United States,55.5,53.7,56.4,81.2,51.3,63.2,"35,364",13.9,13%,54:46:00,2014
55,LMU Munich,Germany,55.4,56.3,54.1,83.3,41.4,63.1,"35,691",15.5,13%,62:38:00,2014
56,Korea Advanced Institute of Science and Technology (KAIST),South Korea,65.6,34.3,60,67,100,62.9,"9,027",10,9%,0.888888889,2014
57,Hong Kong University of Science and Technology,Hong Kong,52.4,77,59.7,72.3,58.5,62.5,"11,385",23.8,36%,,2014
58,University of Manchester,United Kingdom,54.5,80.9,52.2,77.3,40.8,62.3,"34,938",15.3,34%,52:48:00,2014
59,Ohio State University,United States,58.3,48.1,52.9,79.4,47.7,62,"51,462",13.4,12%,49:51:00,2014
60,Pohang University of Science and Technology,South Korea,54.2,33.8,49,85.7,100,61.7,"3,055",10.1,4%,0.888888889,2014
61,KU Leuven,Belgium,48.6,58.6,59.9,72.9,99.9,61.3,"42,503",41.9,18%,54:46:00,2014
62,Purdue University,United States,53.7,60.6,62.5,67,-,60.7,"39,256",18.1,22%,42:58:00,2014
63,The University of Queensland,Australia,43.4,79.7,58,73.3,61,59.9,"34,718",32.7,27%,53:47:00,2014
63,University of Göttingen,Germany,45.1,51.5,48.8,89.6,41.2,59.9,"25,581",25.6,12%,51:49:00,2014
65,Rice University,United States,44.1,67.7,35.5,99.9,35.2,59.8,"6,333",9,26%,44:56:00,2014
65,École Normale Supérieure,France,54.6,67.1,37.1,87,44.7,59.8,"2,400",7.9,20%,46:54:00,2014
67,Leiden University,Netherlands,41.9,58.5,53.2,84.2,49.8,59.4,"21,222",17.1,10%,59:41:00,2014
68,Heidelberg University,Germany,57.8,61.3,44.8,76,42.1,59.2,"28,881",24.5,17%,55:45:00,2014
69,Delft University of Technology,Netherlands,55.8,74.2,67.3,47.2,100,59.1,"15,920",19.4,25%,26 : 74,2014
70,University of Southern California,United States,58.7,43.4,43.2,81.2,34.6,59,"36,534",12.9,20%,52:48:00,2014
70,École Polytechnique,France,46.3,86.1,40.5,82.3,74,59,"2,429",4.8,30%,0.806944444,2014
72,University of Sydney,Australia,47.4,84.8,55.4,66.6,66.3,58.8,"41,868",20.2,28%,57:43:00,2014
73,Erasmus University Rotterdam,Netherlands,37.8,66.6,53.3,81.2,56,58.1,"20,580",18.9,18%,48:52:00,2014
74,University of Basel,Switzerland,39.1,91.1,41,81.4,98.5,57.7,"12,551",17.3,24%,54:46:00,2014
74,Utrecht University,Netherlands,36.3,49.2,54.7,82,85.6,57.7,"30,779",15.4,7%,59:41:00,2014
76,Nanyang Technological University,Singapore,37.7,91,54.3,67.5,100,57.2,"25,028",16.2,33%,48:52:00,2014
77,Wageningen University and Research Center,Netherlands,43.1,78.3,44.3,74.1,100,56.8,"9,248",17,21%,56:44:00,2014
78,University of Pittsburgh,United States,48.6,29.4,45.4,84.4,39.4,56.7,"26,485",5.8,10%,51:49:00,2014
79,University of Bristol,United Kingdom,39.6,75,41.2,84.9,38,56.3,"17,906",14,25%,53:47:00,2014
80,Durham University,United Kingdom,38.3,76.8,38.3,88.2,35.3,56.1,"15,489",15.7,24%,54:46:00,2014
80,Emory University,United States,50.4,42.4,31.6,90.8,43.2,56.1,"12,338",4.5,18%,56:44:00,2014
80,Tufts University,United States,46.7,43.4,32.1,93.9,39.1,56.1,"10,410",10,14%,54:46:00,2014
83,Michigan State University,United States,50,52.6,49.1,71.5,32,55.9,"44,750",15.7,15%,51:49:00,2014
83,University of Amsterdam,Netherlands,38.3,58.3,54.1,75,50.2,55.9,"24,570",14.4,11%,53:47:00,2014
85,Ghent University,Belgium,41,49.5,48.9,74.9,94.6,55.5,"32,166",34.1,9%,57:43:00,2014
86,Free University of Berlin,Germany,43.8,58.7,58,64.8,34.4,55.3,"33,062",39.3,20%,58:42:00,2014
87,Technical University of Munich,Germany,48.2,63.1,35.2,80.7,50.1,55.2,"35,565",31.5,20%,33 : 67,2014
88,Case Western Reserve University,United States,51,35.4,38.6,82.8,-,55,"9,259",6.4,17%,48:52:00,2014
88,Vanderbilt University,United States,46.8,28.6,38.7,86.5,51,55,"12,161",3.6,10%,52:48:00,2014
90,University of Notre Dame,United States,41.2,47.5,34.7,91.8,31.2,54.7,"11,829",13.8,10%,44:56:00,2014
91,Monash University,Australia,42.5,78.3,48.9,65.4,67,54.6,"50,882",40.5,36%,56:44:00,2014
92,McMaster University,Canada,35.3,68,42.7,79.4,86.9,54.5,"23,823",19.3,15%,53:47:00,2014
93,"University of California, Irvine",United States,37.1,36.4,40.8,89.7,44.9,54.1,"26,614",16.1,16%,52:48:00,2014
94,Humboldt University of Berlin,Germany,45.6,54.4,48.7,68.4,-,53.8,"29,987",52.5,16%,,2014
95,University of Rochester,United States,42.8,50.7,29.9,89.7,41.4,53.6,"9,390",4.5,26%,49:51:00,2014
96,Pierre and Marie Curie University,France,50.2,65.5,26.7,82.3,34.4,53.5,"27,862",8.7,18%,48:52:00,2014
97,University of Colorado Boulder,United States,34.2,40.5,33.3,97.3,-,53.4,"29,325",16.1,8%,45:55:00,2014
98,Maastricht University,Netherlands,33.1,89.1,47.1,65.8,98.2,52.9,"15,626",18.9,48%,56:44:00,2014
